Fecha,Producto,Cantidad,Precio Unitario,Total Venta,Total_Calc
2023-06-21,Electrónic,8,200,1600,1600
2023-07-15,Juguetes,3,30,90,90
2023-02-28,Libros,1,20,20,20
2023-06-14,Alimentos,7,10,70,70
2023-11-15,Libros,1,20,20,20
2023-08-07,Alimentos,5,10,50,50
2023-08-19,Ropa,9,50,450,450
2023-01-21,Alimentos,1,10,10,10
2023-06-29,Ropa,10,50,500,500
2023-01-19,Ropa,3,50,150,150
2023-11-04,Libros,5,20,100,100
2023-05-12,Electrónic,5,200,1000,1000
2023-05-29,Libros,2,20,40,40
2023-08-14,Juguetes,9,30,270,270
2023-02-25,Ropa,8,50,400,400
2023-04-19,Electrónic,3,200,600,600
2023-10-08,Juguetes,6,30,180,180
2023-11-25,Juguetes,1,30,30,30
2023-05-10,Alimentos,8,10,80,80
2023-08-07,Ropa,6,50,300,300
2023-12-05,Libros,10,20,200,200
2023-09-08,Libros,3,20,60,60
2023-05-08,Alimentos,4,10,40,40
2023-04-17,Juguetes,5,30,150,150
2023-02-04,Libros,2,20,40,40
2023-12-30,Ropa,7,50,350,350
2023-06-28,Libros,2,20,40,40
2023-04-25,Alimentos,9,10,90,90
2023-04-11,Juguetes,4,30,120,120
2023-10-04,Libros,4,20,80,80
2023-05-08,Alimentos,4,10,40,40
2023-06-19,Alimentos,3,10,30,30
2023-04-20,Alimentos,3,10,30,30
2023-02-19,Libros,1,20,20,20
2023-12-16,Libros,10,20,200,200
2023-03-31,Alimentos,4,10,40,40
2023-10-11,Ropa,10,50,500,500
2023-10-22,Juguetes,1,30,30,30
2023-10-01,Ropa,2,50,100,100
2023-04-10,Ropa,4,50,200,200
2023-04-28,Alimentos,4,10,40,40
2023-08-15,Electrónic,1,200,200,200
2023-11-22,Alimentos,9,10,90,90
2023-05-09,Libros,4,20,80,80
2023-07-08,Ropa,5,50,250,250
2023-08-21,Alimentos,8,10,80,80
2023-01-01,Libros,8,20,160,160
2023-04-01,Ropa,10,50,500,500
2023-08-08,Alimentos,3,10,30,30
2023-10-06,Ropa,1,50,50,50
2023-12-27,Electrónic,8,200,1600,1600
2023-07-31,Ropa,8,50,400,400
2023-12-18,Alimentos,9,10,90,90
2023-12-26,Ropa,7,50,350,350
2023-01-27,Juguetes,8,30,240,240
2023-01-03,Juguetes,8,30,240,240
2023-04-21,Alimentos,3,10,30,30
2023-11-20,Alimentos,2,10,20,20
2023-03-26,Juguetes,5,30,150,150
2023-02-09,Juguetes,10,30,300,300
2023-05-14,Electrónic,2,200,400,400
2023-11-17,Ropa,2,50,100,100
2023-10-22,Juguetes,10,30,300,300
2023-12-09,Alimentos,4,10,40,40
2023-11-03,Juguetes,3,30,90,90
2023-12-10,Alimentos,4,10,40,40
2023-07-15,Electrónic,2,200,400,400
2023-12-21,Electrónic,6,200,1200,1200
2023-11-05,Juguetes,4,30,120,120
2023-10-15,Ropa,8,50,400,400
2023-01-03,Electrónic,9,200,1800,1800
2023-02-14,Libros,3,20,60,60
2023-11-21,Ropa,6,50,300,300
2023-03-06,Ropa,3,50,150,150
2023-07-12,Libros,7,20,140,140
2023-07-20,Alimentos,1,10,10,10
2023-03-27,Alimentos,8,10,80,80
2023-06-25,Alimentos,6,10,60,60
2023-09-20,Juguetes,5,30,150,150
2023-10-09,Electrónic,3,200,600,600
2023-10-01,Electrónic,9,200,1800,1800
2023-05-24,Juguetes,4,30,120,120
2023-10-21,Alimentos,1,10,10,10
2023-12-20,Ropa,5,50,250,250
2023-11-01,Alimentos,4,10,40,40
2023-04-20,Juguetes,10,30,300,300
2023-04-01,Alimentos,4,10,40,40
2023-08-19,Libros,10,20,200,200
2023-04-04,Libros,8,20,160,160
2023-11-09,Ropa,4,50,200,200
2023-09-25,Ropa,6,50,300,300
2023-04-26,Libros,7,20,140,140
2023-11-04,Ropa,9,50,450,450
2023-11-22,Juguetes,7,30,210,210
2023-04-18,Alimentos,10,10,100,100
2023-08-23,Electrónic,5,200,1000,1000
2023-04-30,Electrónic,2,200,400,400
2023-04-13,Ropa,7,50,350,350
2023-03-15,Electrónic,9,200,1800,1800
2023-06-09,Juguetes,9,30,270,270
2023-04-10,Libros,9,20,180,180
2023-10-09,Libros,6,20,120,120
2023-08-30,Ropa,7,50,350,350
2023-06-23,Juguetes,1,30,30,30
2023-07-29,Juguetes,2,30,60,60
2023-09-19,Alimentos,10,10,100,100
2023-08-29,Juguetes,10,30,300,300
2023-03-05,Alimentos,6,10,60,60
2023-10-16,Juguetes,10,30,300,300
2023-05-17,Libros,10,20,200,200
2023-01-25,Electrónic,7,200,1400,1400
2023-10-29,Libros,6,20,120,120
2023-08-04,Ropa,8,50,400,400
2023-01-28,Juguetes,1,30,30,30
2023-08-27,Alimentos,10,10,100,100
2023-06-27,Juguetes,1,30,30,30
2023-03-10,Juguetes,9,30,270,270
2023-04-13,Libros,9,20,180,180
2023-10-31,Ropa,2,50,100,100
2023-09-13,Libros,1,20,20,20
2023-10-29,Ropa,6,50,300,300
2023-09-28,Alimentos,9,10,90,90
2023-08-30,Alimentos,5,10,50,50
2023-01-08,Alimentos,5,10,50,50
2023-08-05,Alimentos,2,10,20,20
2023-01-12,Juguetes,5,30,150,150
2023-04-11,Juguetes,4,30,120,120
2023-04-12,Juguetes,3,30,90,90
2023-08-11,Alimentos,6,10,60,60
2023-06-17,Alimentos,9,10,90,90
2023-09-11,Electrónic,7,200,1400,1400
2023-08-08,Electrónic,8,200,1600,1600
2023-01-18,Juguetes,3,30,90,90
2023-01-16,Libros,1,20,20,20
2023-10-05,Electrónic,1,200,200,200
2023-06-22,Alimentos,9,10,90,90
2023-01-12,Electrónic,7,200,1400,1400
2023-12-16,Electrónic,5,200,1000,1000
2023-08-03,Juguetes,3,30,90,90
2023-02-08,Libros,4,20,80,80
2023-10-19,Ropa,8,50,400,400
2023-09-10,Libros,4,20,80,80
2023-08-24,Libros,6,20,120,120
2023-02-28,Ropa,8,50,400,400
2023-12-23,Alimentos,10,10,100,100
2023-12-10,Alimentos,6,10,60,60
2023-12-30,Electrónic,4,200,800,800
2023-03-13,Libros,9,20,180,180
2023-09-05,Alimentos,10,10,100,100
2023-02-20,Alimentos,5,10,50,50
2023-11-28,Juguetes,7,30,210,210
2023-08-26,Libros,5,20,100,100
2023-03-05,Ropa,7,50,350,350
2023-03-12,Juguetes,7,30,210,210
2023-11-29,Alimentos,10,10,100,100
2023-04-03,Alimentos,1,10,10,10
2023-10-25,Alimentos,10,10,100,100
2023-02-11,Juguetes,5,30,150,150
2023-05-21,Alimentos,8,10,80,80
2023-10-21,Electrónic,4,200,800,800
2023-02-19,Libros,3,20,60,60
2023-07-22,Juguetes,4,30,120,120
2023-08-03,Juguetes,6,30,180,180
2023-10-11,Juguetes,7,30,210,210
2023-02-21,Electrónic,9,200,1800,1800
2023-03-11,Alimentos,8,10,80,80
2023-10-04,Juguetes,3,30,90,90
2023-10-26,Juguetes,10,30,300,300
2023-05-17,Alimentos,1,10,10,10
2023-11-03,Electrónic,9,200,1800,1800
2023-04-14,Juguetes,9,30,270,270
2023-05-01,Libros,4,20,80,80
2023-11-26,Alimentos,1,10,10,10
2023-10-11,Ropa,5,50,250,250
2023-08-21,Ropa,2,50,100,100
2023-05-11,Alimentos,7,10,70,70
2023-07-20,Libros,5,20,100,100
2023-06-23,Electrónic,3,200,600,600
2023-08-29,Juguetes,7,30,210,210
2023-03-13,Ropa,4,50,200,200
2023-05-16,Juguetes,5,30,150,150
2023-06-15,Juguetes,1,30,30,30
2023-10-09,Electrónic,4,200,800,800
2023-08-25,Ropa,7,50,350,350
2023-06-30,Juguetes,3,30,90,90
2023-04-07,Juguetes,5,30,150,150
2023-10-23,Alimentos,4,10,40,40
2023-11-30,Alimentos,2,10,20,20
2023-04-26,Alimentos,6,10,60,60
2023-01-04,Ropa,6,50,300,300
2023-08-14,Ropa,1,50,50,50
2023-01-16,Alimentos,5,10,50,50
2023-09-24,Alimentos,2,10,20,20
2023-01-08,Electrónic,2,200,400,400
2023-08-14,Ropa,4,50,200,200
2023-05-14,Electrónic,9,200,1800,1800
2023-01-03,Alimentos,8,10,80,80
2023-03-30,Libros,4,20,80,80
2023-01-24,Electrónic,8,200,1600,1600
2023-09-11,Electrónic,3,200,600,600
2023-08-31,Libros,8,20,160,160
2023-07-15,Electrónic,6,200,1200,1200
2023-01-27,Juguetes,3,30,90,90
2023-09-12,Ropa,8,50,400,400
2023-09-27,Alimentos,1,10,10,10
2023-08-10,Alimentos,7,10,70,70
2023-03-02,Juguetes,10,30,300,300
2023-01-27,Alimentos,9,10,90,90
2023-03-03,Libros,3,20,60,60
2023-03-20,Juguetes,6,30,180,180
2023-02-06,Juguetes,2,30,60,60
2023-03-22,Libros,5,20,100,100
2023-11-08,Electrónic,4,200,800,800
2023-01-23,Ropa,7,50,350,350
2023-02-17,Electrónic,7,200,1400,1400
2023-11-16,Ropa,10,50,500,500
2023-09-20,Libros,9,20,180,180
2023-10-17,Ropa,2,50,100,100
2023-07-21,Libros,2,20,40,40
2023-06-16,Alimentos,4,10,40,40
2023-09-27,Alimentos,8,10,80,80
2023-06-05,Alimentos,3,10,30,30
2023-02-13,Libros,10,20,200,200
2023-04-05,Ropa,10,50,500,500
2023-01-03,Ropa,5,50,250,250
2023-12-31,Libros,8,20,160,160
2023-05-04,Alimentos,4,10,40,40
2023-03-29,Electrónic,3,200,600,600
2023-02-24,Ropa,7,50,350,350
2023-05-14,Ropa,5,50,250,250
2023-02-02,Alimentos,7,10,70,70
2023-01-11,Electrónic,5,200,1000,1000
2023-01-07,Juguetes,4,30,120,120
2023-06-29,Libros,4,20,80,80
2023-07-16,Libros,5,20,100,100
2023-02-13,Ropa,2,50,100,100
2023-12-19,Alimentos,3,10,30,30
2023-03-18,Libros,6,20,120,120
2023-02-28,Libros,1,20,20,20
2023-04-07,Libros,1,20,20,20
2023-08-31,Alimentos,7,10,70,70
2023-05-30,Ropa,8,50,400,400
2023-07-16,Ropa,9,50,450,450
2023-07-03,Libros,5,20,100,100
2023-03-26,Juguetes,7,30,210,210
2023-01-11,Alimentos,6,10,60,60
2023-12-03,Electrónic,5,200,1000,1000
2023-03-30,Alimentos,10,10,100,100
2023-04-14,Libros,2,20,40,40
2023-04-29,Alimentos,4,10,40,40
2023-02-05,Alimentos,4,10,40,40
2023-12-07,Alimentos,9,10,90,90
2023-11-20,Electrónic,9,200,1800,1800
2023-12-29,Juguetes,9,30,270,270
2023-07-08,Juguetes,2,30,60,60
2023-06-09,Juguetes,7,30,210,210
2023-10-07,Juguetes,5,30,150,150
2023-11-29,Ropa,5,50,250,250
2023-03-23,Electrónic,3,200,600,600
2023-03-27,Juguetes,7,30,210,210
2023-03-23,Electrónic,1,200,200,200
2023-01-01,Alimentos,2,10,20,20
2023-03-04,Electrónic,4,200,800,800
2023-07-19,Ropa,1,50,50,50
2023-12-26,Electrónic,6,200,1200,1200
2023-09-28,Libros,8,20,160,160
2023-12-13,Electrónic,2,200,400,400
2023-05-25,Alimentos,8,10,80,80
2023-05-11,Libros,9,20,180,180
2023-08-12,Juguetes,5,30,150,150
2023-10-31,Alimentos,8,10,80,80
2023-09-05,Libros,5,20,100,100
2023-04-07,Juguetes,6,30,180,180
2023-04-20,Juguetes,3,30,90,90
2023-06-22,Electrónic,7,200,1400,1400
2023-08-14,Ropa,4,50,200,200
2023-06-14,Ropa,5,50,250,250
2023-10-14,Libros,1,20,20,20
2023-02-09,Electrónic,2,200,400,400
2023-06-08,Libros,3,20,60,60
2023-07-10,Juguetes,5,30,150,150
2023-12-17,Libros,9,20,180,180
2023-08-29,Alimentos,9,10,90,90
2023-08-20,Alimentos,2,10,20,20
2023-12-20,Ropa,9,50,450,450
2023-01-08,Ropa,7,50,350,350
2023-08-19,Alimentos,2,10,20,20
2023-05-26,Libros,3,20,60,60
2023-02-09,Electrónic,1,200,200,200
2023-08-06,Libros,9,20,180,180
2023-02-28,Electrónic,9,200,1800,1800
2023-02-14,Electrónic,8,200,1600,1600
2023-02-25,Libros,8,20,160,160
2023-09-14,Alimentos,4,10,40,40
2023-01-28,Ropa,8,50,400,400
2023-01-27,Electrónic,4,200,800,800
2023-08-23,Libros,8,20,160,160
2023-09-24,Juguetes,4,30,120,120
2023-05-12,Alimentos,9,10,90,90
2023-05-06,Juguetes,9,30,270,270
2023-05-07,Electrónic,8,200,1600,1600
2023-07-23,Alimentos,2,10,20,20
2023-05-23,Alimentos,4,10,40,40
2023-05-04,Alimentos,7,10,70,70
2023-08-24,Ropa,6,50,300,300
2023-04-09,Electrónic,10,200,2000,2000
2023-01-05,Electrónic,2,200,400,400
2023-06-07,Libros,9,20,180,180
2023-01-10,Alimentos,2,10,20,20
2023-08-10,Libros,6,20,120,120
2023-08-30,Ropa,3,50,150,150
2023-01-23,Libros,5,20,100,100
2023-06-15,Juguetes,5,30,150,150
2023-01-24,Libros,7,20,140,140
2023-12-02,Libros,5,20,100,100
2023-09-27,Ropa,6,50,300,300
2023-08-26,Juguetes,2,30,60,60
2023-05-06,Libros,7,20,140,140
2023-12-06,Alimentos,10,10,100,100
2023-09-11,Alimentos,6,10,60,60
2023-01-31,Ropa,4,50,200,200
2023-03-22,Libros,1,20,20,20
2023-08-12,Alimentos,9,10,90,90
2023-10-29,Juguetes,4,30,120,120
2023-04-27,Alimentos,2,10,20,20
2023-06-09,Ropa,10,50,500,500
2023-08-21,Alimentos,8,10,80,80
2023-03-28,Electrónic,6,200,1200,1200
2023-03-07,Electrónic,4,200,800,800
